year,province,wage_frequency,noc,gender,age_group,weekly_wage
2017,Ontario,Average weekly wage rate,Technical occupations related to natural and applied sciences [22],Males,25 to 54 years,1280.12
2018,Ontario,Average weekly wage rate,Technical occupations related to natural and applied sciences [22],Males,25 to 54 years,1284.29
2019,Ontario,Average weekly wage rate,Technical occupations related to natural and applied sciences [22],Males,25 to 54 years,1338.27
2020,Ontario,Average weekly wage rate,Technical occupations related to natural and applied sciences [22],Males,25 to 54 years,1365.31
2021,Ontario,Average weekly wage rate,Technical occupations related to natural and applied sciences [22],Males,25 to 54 years,1388.06
2017,Ontario,Average weekly wage rate,Health occupations [3],Males,25 to 54 years,1296.86
2018,Ontario,Average weekly wage rate,Health occupations [3],Males,25 to 54 years,1408.3
2019,Ontario,Average weekly wage rate,Health occupations [3],Males,25 to 54 years,1367.72
2020,Ontario,Average weekly wage rate,Health occupations [3],Males,25 to 54 years,1441.89
2021,Ontario,Average weekly wage rate,Health occupations [3],Males,25 to 54 years,1422.79
2017,Ontario,Average weekly wage rate,Professional occupations in nursing [30],Males,25 to 54 years,1369.24
2018,Ontario,Average weekly wage rate,Professional occupations in nursing [30],Males,25 to 54 years,1311.49
2019,Ontario,Average weekly wage rate,Professional occupations in nursing [30],Males,25 to 54 years,1453.15
2020,Ontario,Average weekly wage rate,Professional occupations in nursing [30],Males,25 to 54 years,1569.47
2021,Ontario,Average weekly wage rate,Professional occupations in nursing [30],Males,25 to 54 years,1455.82
2017,Ontario,Average weekly wage rate,Professional occupations in health (except nursing) [31],Males,25 to 54 years,1475.55
2018,Ontario,Average weekly wage rate,Professional occupations in health (except nursing) [31],Males,25 to 54 years,1794.88
2019,Ontario,Average weekly wage rate,Professional occupations in health (except nursing) [31],Males,25 to 54 years,1592.53
2020,Ontario,Average weekly wage rate,Professional occupations in health (except nursing) [31],Males,25 to 54 years,1696.0
2021,Ontario,Average weekly wage rate,Professional occupations in health (except nursing) [31],Males,25 to 54 years,1786.62
2017,Ontario,Average weekly wage rate,Technical occupations in health [32],Males,25 to 54 years,1345.65
2018,Ontario,Average weekly wage rate,Technical occupations in health [32],Males,25 to 54 years,1345.41
2019,Ontario,Average weekly wage rate,Technical occupations in health [32],Males,25 to 54 years,1370.71
2020,Ontario,Average weekly wage rate,Technical occupations in health [32],Males,25 to 54 years,1425.12
2021,Ontario,Average weekly wage rate,Technical occupations in health [32],Males,25 to 54 years,1455.64
2017,Ontario,Average weekly wage rate,Assisting occupations in support of health services [34],Males,25 to 54 years,819.43
2018,Ontario,Average weekly wage rate,Assisting occupations in support of health services [34],Males,25 to 54 years,874.11
2019,Ontario,Average weekly wage rate,Assisting occupations in support of health services [34],Males,25 to 54 years,896.86
2020,Ontario,Average weekly wage rate,Assisting occupations in support of health services [34],Males,25 to 54 years,845.78
2021,Ontario,Average weekly wage rate,Assisting occupations in support of health services [34],Males,25 to 54 years,881.91
2017,Ontario,Average weekly wage rate,"Occupations in education, law and social, community and government services [4]",Males,25 to 54 years,1594.99
2018,Ontario,Average weekly wage rate,"Occupations in education, law and social, community and government services [4]",Males,25 to 54 years,1596.27
2019,Ontario,Average weekly wage rate,"Occupations in education, law and social, community and government services [4]",Males,25 to 54 years,1619.63
2020,Ontario,Average weekly wage rate,"Occupations in education, law and social, community and government services [4]",Males,25 to 54 years,1703.46
2021,Ontario,Average weekly wage rate,"Occupations in education, law and social, community and government services [4]",Males,25 to 54 years,1687.1
2017,Ontario,Average weekly wage rate,Professional occupations in education services [40],Males,25 to 54 years,1621.03
2018,Ontario,Average weekly wage rate,Professional occupations in education services [40],Males,25 to 54 years,1663.14
2019,Ontario,Average weekly wage rate,Professional occupations in education services [40],Males,25 to 54 years,1682.42
2020,Ontario,Average weekly wage rate,Professional occupations in education services [40],Males,25 to 54 years,1696.58
2021,Ontario,Average weekly wage rate,Professional occupations in education services [40],Males,25 to 54 years,1665.77
2017,Ontario,Average weekly wage rate,"Professional occupations in law and social, community and government services [41]",Males,25 to 54 years,1583.43
2018,Ontario,Average weekly wage rate,"Professional occupations in law and social, community and government services [41]",Males,25 to 54 years,1550.96
2019,Ontario,Average weekly wage rate,"Professional occupations in law and social, community and government services [41]",Males,25 to 54 years,1599.01
2020,Ontario,Average weekly wage rate,"Professional occupations in law and social, community and government services [41]",Males,25 to 54 years,1752.33
2021,Ontario,Average weekly wage rate,"Professional occupations in law and social, community and government services [41]",Males,25 to 54 years,1768.74
2017,Ontario,Average weekly wage rate,"Paraprofessional occupations in legal, social, community and education services [42]",Males,25 to 54 years,1106.09
2018,Ontario,Average weekly wage rate,"Paraprofessional occupations in legal, social, community and education services [42]",Males,25 to 54 years,1008.33
2019,Ontario,Average weekly wage rate,"Paraprofessional occupations in legal, social, community and education services [42]",Males,25 to 54 years,1023.32
2020,Ontario,Average weekly wage rate,"Paraprofessional occupations in legal, social, community and education services [42]",Males,25 to 54 years,1001.65
2021,Ontario,Average weekly wage rate,"Paraprofessional occupations in legal, social, community and education services [42]",Males,25 to 54 years,988.27
2017,Ontario,Average weekly wage rate,Occupations in front-line public protection services [43],Males,25 to 54 years,1829.06
2018,Ontario,Average weekly wage rate,Occupations in front-line public protection services [43],Males,25 to 54 years,1888.32
2019,Ontario,Average weekly wage rate,Occupations in front-line public protection services [43],Males,25 to 54 years,1858.08
2020,Ontario,Average weekly wage rate,Occupations in front-line public protection services [43],Males,25 to 54 years,1924.65
2021,Ontario,Average weekly wage rate,Occupations in front-line public protection services [43],Males,25 to 54 years,1964.75
2017,Ontario,Average weekly wage rate,"Care providers and educational, legal and public protection support occupations [44]",Males,25 to 54 years,1204.51
2018,Ontario,Average weekly wage rate,"Care providers and educational, legal and public protection support occupations [44]",Males,25 to 54 years,1151.38
2019,Ontario,Average weekly wage rate,"Care providers and educational, legal and public protection support occupations [44]",Males,25 to 54 years,1161.5
2020,Ontario,Average weekly wage rate,"Care providers and educational, legal and public protection support occupations [44]",Males,25 to 54 years,1161.51
2021,Ontario,Average weekly wage rate,"Care providers and educational, legal and public protection support occupations [44]",Males,25 to 54 years,1125.01
2017,Ontario,Average weekly wage rate,"Occupations in art, culture, recreation and sport [5]",Males,25 to 54 years,1126.24
2018,Ontario,Average weekly wage rate,"Occupations in art, culture, recreation and sport [5]",Males,25 to 54 years,1065.36
2019,Ontario,Average weekly wage rate,"Occupations in art, culture, recreation and sport [5]",Males,25 to 54 years,1225.16
2020,Ontario,Average weekly wage rate,"Occupations in art, culture, recreation and sport [5]",Males,25 to 54 years,1204.11
2021,Ontario,Average weekly wage rate,"Occupations in art, culture, recreation and sport [5]",Males,25 to 54 years,1348.67
2017,Ontario,Average weekly wage rate,Professional occupations in art and culture [51],Males,25 to 54 years,1356.34
2018,Ontario,Average weekly wage rate,Professional occupations in art and culture [51],Males,25 to 54 years,1026.47
2019,Ontario,Average weekly wage rate,Professional occupations in art and culture [51],Males,25 to 54 years,1168.0
2020,Ontario,Average weekly wage rate,Professional occupations in art and culture [51],Males,25 to 54 years,1331.3
2021,Ontario,Average weekly wage rate,Professional occupations in art and culture [51],Males,25 to 54 years,1401.23
2017,Ontario,Average weekly wage rate,"Technical occupations in art, culture, recreation and sport [52]",Males,25 to 54 years,1005.25
2018,Ontario,Average weekly wage rate,"Technical occupations in art, culture, recreation and sport [52]",Males,25 to 54 years,1085.66
2019,Ontario,Average weekly wage rate,"Technical occupations in art, culture, recreation and sport [52]",Males,25 to 54 years,1258.86
2020,Ontario,Average weekly wage rate,"Technical occupations in art, culture, recreation and sport [52]",Males,25 to 54 years,1143.82
2021,Ontario,Average weekly wage rate,"Technical occupations in art, culture, recreation and sport [52]",Males,25 to 54 years,1318.12
2017,Ontario,Average weekly wage rate,Sales and service occupations [6],Males,25 to 54 years,863.27
2018,Ontario,Average weekly wage rate,Sales and service occupations [6],Males,25 to 54 years,876.5
2019,Ontario,Average weekly wage rate,Sales and service occupations [6],Males,25 to 54 years,892.89
2020,Ontario,Average weekly wage rate,Sales and service occupations [6],Males,25 to 54 years,979.44
2021,Ontario,Average weekly wage rate,Sales and service occupations [6],Males,25 to 54 years,982.82
2017,Ontario,Average weekly wage rate,Retail sales supervisors and specialized sales occupations [62],Males,25 to 54 years,1025.51
2018,Ontario,Average weekly wage rate,Retail sales supervisors and specialized sales occupations [62],Males,25 to 54 years,1017.41
2019,Ontario,Average weekly wage rate,Retail sales supervisors and specialized sales occupations [62],Males,25 to 54 years,1039.18
2020,Ontario,Average weekly wage rate,Retail sales supervisors and specialized sales occupations [62],Males,25 to 54 years,1146.08
2021,Ontario,Average weekly wage rate,Retail sales supervisors and specialized sales occupations [62],Males,25 to 54 years,1182.11
2017,Ontario,Average weekly wage rate,Service supervisors and specialized service occupations [63],Males,25 to 54 years,723.13
2018,Ontario,Average weekly wage rate,Service supervisors and specialized service occupations [63],Males,25 to 54 years,805.54
2019,Ontario,Average weekly wage rate,Service supervisors and specialized service occupations [63],Males,25 to 54 years,836.19
2020,Ontario,Average weekly wage rate,Service supervisors and specialized service occupations [63],Males,25 to 54 years,905.67
2021,Ontario,Average weekly wage rate,Service supervisors and specialized service occupations [63],Males,25 to 54 years,927.32
2017,Ontario,Average weekly wage rate,Sales representatives and salespersons - wholesale and retail trade [64],Males,25 to 54 years,967.93
2018,Ontario,Average weekly wage rate,Sales representatives and salespersons - wholesale and retail trade [64],Males,25 to 54 years,1012.16
2019,Ontario,Average weekly wage rate,Sales representatives and salespersons - wholesale and retail trade [64],Males,25 to 54 years,1026.21
2020,Ontario,Average weekly wage rate,Sales representatives and salespersons - wholesale and retail trade [64],Males,25 to 54 years,1077.13
2021,Ontario,Average weekly wage rate,Sales representatives and salespersons - wholesale and retail trade [64],Males,25 to 54 years,1091.41
2017,Ontario,Average weekly wage rate,Service representatives and other customer and personal services occupations [65],Males,25 to 54 years,792.11
2018,Ontario,Average weekly wage rate,Service representatives and other customer and personal services occupations [65],Males,25 to 54 years,755.88
2019,Ontario,Average weekly wage rate,Service representatives and other customer and personal services occupations [65],Males,25 to 54 years,778.12
2020,Ontario,Average weekly wage rate,Service representatives and other customer and personal services occupations [65],Males,25 to 54 years,877.44
2021,Ontario,Average weekly wage rate,Service representatives and other customer and personal services occupations [65],Males,25 to 54 years,801.32
2017,Ontario,Average weekly wage rate,Sales support occupations [66],Males,25 to 54 years,652.74
2018,Ontario,Average weekly wage rate,Sales support occupations [66],Males,25 to 54 years,662.25
2019,Ontario,Average weekly wage rate,Sales support occupations [66],Males,25 to 54 years,680.66
2020,Ontario,Average weekly wage rate,Sales support occupations [66],Males,25 to 54 years,722.09
2021,Ontario,Average weekly wage rate,Sales support occupations [66],Males,25 to 54 years,731.07
2017,Ontario,Average weekly wage rate,"Service support and other service occupations, n.e.c. [67]",Males,25 to 54 years,747.18
2018,Ontario,Average weekly wage rate,"Service support and other service occupations, n.e.c. [67]",Males,25 to 54 years,756.37
2019,Ontario,Average weekly wage rate,"Service support and other service occupations, n.e.c. [67]",Males,25 to 54 years,757.94
2020,Ontario,Average weekly wage rate,"Service support and other service occupations, n.e.c. [67]",Males,25 to 54 years,833.65
2021,Ontario,Average weekly wage rate,"Service support and other service occupations, n.e.c. [67]",Males,25 to 54 years,826.49
2017,Ontario,Average weekly wage rate,"Trades, transport and equipment operators and related occupations [7]",Males,25 to 54 years,1119.24
2018,Ontario,Average weekly wage rate,"Trades, transport and equipment operators and related occupations [7]",Males,25 to 54 years,1156.46
2019,Ontario,Average weekly wage rate,"Trades, transport and equipment operators and related occupations [7]",Males,25 to 54 years,1181.74
2020,Ontario,Average weekly wage rate,"Trades, transport and equipment operators and related occupations [7]",Males,25 to 54 years,1227.93
2021,Ontario,Average weekly wage rate,"Trades, transport and equipment operators and related occupations [7]",Males,25 to 54 years,1260.89
2017,Ontario,Average weekly wage rate,"Industrial, electrical and construction trades [72]",Males,25 to 54 years,1181.82
2018,Ontario,Average weekly wage rate,"Industrial, electrical and construction trades [72]",Males,25 to 54 years,1217.58
2019,Ontario,Average weekly wage rate,"Industrial, electrical and construction trades [72]",Males,25 to 54 years,1279.72
2020,Ontario,Average weekly wage rate,"Industrial, electrical and construction trades [72]",Males,25 to 54 years,1333.27
2021,Ontario,Average weekly wage rate,"Industrial, electrical and construction trades [72]",Males,25 to 54 years,1356.55
2017,Ontario,Average weekly wage rate,Maintenance and equipment operation trades [73],Males,25 to 54 years,1204.22
2018,Ontario,Average weekly wage rate,Maintenance and equipment operation trades [73],Males,25 to 54 years,1268.77
2019,Ontario,Average weekly wage rate,Maintenance and equipment operation trades [73],Males,25 to 54 years,1300.1
2020,Ontario,Average weekly wage rate,Maintenance and equipment operation trades [73],Males,25 to 54 years,1318.86
2021,Ontario,Average weekly wage rate,Maintenance and equipment operation trades [73],Males,25 to 54 years,1390.33
2017,Ontario,Average weekly wage rate,"Other installers, repairers and servicers and material handlers [74]",Males,25 to 54 years,887.31
2018,Ontario,Average weekly wage rate,"Other installers, repairers and servicers and material handlers [74]",Males,25 to 54 years,889.64
2019,Ontario,Average weekly wage rate,"Other installers, repairers and servicers and material handlers [74]",Males,25 to 54 years,869.37
2020,Ontario,Average weekly wage rate,"Other installers, repairers and servicers and material handlers [74]",Males,25 to 54 years,897.5
2021,Ontario,Average weekly wage rate,"Other installers, repairers and servicers and material handlers [74]",Males,25 to 54 years,911.35
2017,Ontario,Average weekly wage rate,Transport and heavy equipment operation and related maintenance occupations [75],Males,25 to 54 years,1069.29
2018,Ontario,Average weekly wage rate,Transport and heavy equipment operation and related maintenance occupations [75],Males,25 to 54 years,1082.42
2019,Ontario,Average weekly wage rate,Transport and heavy equipment operation and related maintenance occupations [75],Males,25 to 54 years,1082.28
2020,Ontario,Average weekly wage rate,Transport and heavy equipment operation and related maintenance occupations [75],Males,25 to 54 years,1162.64
2021,Ontario,Average weekly wage rate,Transport and heavy equipment operation and related maintenance occupations [75],Males,25 to 54 years,1168.46
2017,Ontario,Average weekly wage rate,"Trades helpers, construction labourers and related occupations [76]",Males,25 to 54 years,1016.45
2018,Ontario,Average weekly wage rate,"Trades helpers, construction labourers and related occupations [76]",Males,25 to 54 years,
2019,Ontario,Average weekly wage rate,"Trades helpers, construction labourers and related occupations [76]",Males,25 to 54 years,
2020,Ontario,Average weekly wage rate,"Trades helpers, construction labourers and related occupations [76]",Males,25 to 54 years,
2021,Ontario,Average weekly wage rate,"Trades helpers, construction labourers and related occupations [76]",Males,25 to 54 years,
2017,Ontario,Average weekly wage rate,"Natural resources, agriculture and related production occupations [8]",Males,25 to 54 years,1017.83
2018,Ontario,Average weekly wage rate,"Natural resources, agriculture and related production occupations [8]",Males,25 to 54 years,1184.09
2019,Ontario,Average weekly wage rate,"Natural resources, agriculture and related production occupations [8]",Males,25 to 54 years,1184.84
2020,Ontario,Average weekly wage rate,"Natural resources, agriculture and related production occupations [8]",Males,25 to 54 years,1145.71
2021,Ontario,Average weekly wage rate,"Natural resources, agriculture and related production occupations [8]",Males,25 to 54 years,1241.99
2017,Ontario,Average weekly wage rate,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",Males,25 to 54 years,1278.59
2018,Ontario,Average weekly wage rate,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",Males,25 to 54 years,1446.33
2019,Ontario,Average weekly wage rate,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",Males,25 to 54 years,
2020,Ontario,Average weekly wage rate,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",Males,25 to 54 years,
2021,Ontario,Average weekly wage rate,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",Males,25 to 54 years,1658.98
2017,Ontario,Average weekly wage rate,"Workers in natural resources, agriculture and related production [84]",Males,25 to 54 years,845.08
2018,Ontario,Average weekly wage rate,"Workers in natural resources, agriculture and related production [84]",Males,25 to 54 years,1111.51
2019,Ontario,Average weekly wage rate,"Workers in natural resources, agriculture and related production [84]",Males,25 to 54 years,1000.11
2020,Ontario,Average weekly wage rate,"Workers in natural resources, agriculture and related production [84]",Males,25 to 54 years,982.74
2021,Ontario,Average weekly wage rate,"Workers in natural resources, agriculture and related production [84]",Males,25 to 54 years,953.47
2017,Ontario,Average weekly wage rate,"Harvesting, landscaping and natural resources labourers [86]",Males,25 to 54 years,853.81
2018,Ontario,Average weekly wage rate,"Harvesting, landscaping and natural resources labourers [86]",Males,25 to 54 years,
2019,Ontario,Average weekly wage rate,"Harvesting, landscaping and natural resources labourers [86]",Males,25 to 54 years,
2020,Ontario,Average weekly wage rate,"Harvesting, landscaping and natural resources labourers [86]",Males,25 to 54 years,
2021,Ontario,Average weekly wage rate,"Harvesting, landscaping and natural resources labourers [86]",Males,25 to 54 years,981.33
2017,Ontario,Average weekly wage rate,Occupations in manufacturing and utilities [9],Males,25 to 54 years,948.1
2018,Ontario,Average weekly wage rate,Occupations in manufacturing and utilities [9],Males,25 to 54 years,993.81
2019,Ontario,Average weekly wage rate,Occupations in manufacturing and utilities [9],Males,25 to 54 years,1018.84
2020,Ontario,Average weekly wage rate,Occupations in manufacturing and utilities [9],Males,25 to 54 years,1074.99
2021,Ontario,Average weekly wage rate,Occupations in manufacturing and utilities [9],Males,25 to 54 years,1092.3
2017,Ontario,Average weekly wage rate,"Processing, manufacturing and utilities supervisors and central control operators [92]",Males,25 to 54 years,1232.98
2018,Ontario,Average weekly wage rate,"Processing, manufacturing and utilities supervisors and central control operators [92]",Males,25 to 54 years,1295.72
2019,Ontario,Average weekly wage rate,"Processing, manufacturing and utilities supervisors and central control operators [92]",Males,25 to 54 years,1342.78
2020,Ontario,Average weekly wage rate,"Processing, manufacturing and utilities supervisors and central control operators [92]",Males,25 to 54 years,1431.88
2021,Ontario,Average weekly wage rate,"Processing, manufacturing and utilities supervisors and central control operators [92]",Males,25 to 54 years,1435.65
2017,Ontario,Average weekly wage rate,Processing and manufacturing machine operators and related production workers [94],Males,25 to 54 years,871.49
2018,Ontario,Average weekly wage rate,Processing and manufacturing machine operators and related production workers [94],Males,25 to 54 years,894.42
2019,Ontario,Average weekly wage rate,Processing and manufacturing machine operators and related production workers [94],Males,25 to 54 years,897.66
2020,Ontario,Average weekly wage rate,Processing and manufacturing machine operators and related production workers [94],Males,25 to 54 years,954.03
2021,Ontario,Average weekly wage rate,Processing and manufacturing machine operators and related production workers [94],Males,25 to 54 years,969.49
2017,Ontario,Average weekly wage rate,Assemblers in manufacturing [95],Males,25 to 54 years,904.49
2018,Ontario,Average weekly wage rate,Assemblers in manufacturing [95],Males,25 to 54 years,923.88
2019,Ontario,Average weekly wage rate,Assemblers in manufacturing [95],Males,25 to 54 years,983.37
2020,Ontario,Average weekly wage rate,Assemblers in manufacturing [95],Males,25 to 54 years,1010.18
2021,Ontario,Average weekly wage rate,Assemblers in manufacturing [95],Males,25 to 54 years,1010.67
2017,Ontario,Average weekly wage rate,"Labourers in processing, manufacturing and utilities [96]",Males,25 to 54 years,754.59
2018,Ontario,Average weekly wage rate,"Labourers in processing, manufacturing and utilities [96]",Males,25 to 54 years,820.7
2019,Ontario,Average weekly wage rate,"Labourers in processing, manufacturing and utilities [96]",Males,25 to 54 years,800.92
2020,Ontario,Average weekly wage rate,"Labourers in processing, manufacturing and utilities [96]",Males,25 to 54 years,863.79
2021,Ontario,Average weekly wage rate,"Labourers in processing, manufacturing and utilities [96]",Males,25 to 54 years,876.64
2017,Ontario,Average weekly wage rate,"Total employees, all occupations",Males,55 years and over,1253.76
2018,Ontario,Average weekly wage rate,"Total employees, all occupations",Males,55 years and over,1278.24
2019,Ontario,Average weekly wage rate,"Total employees, all occupations",Males,55 years and over,1313.42
2020,Ontario,Average weekly wage rate,"Total employees, all occupations",Males,55 years and over,1417.76
2021,Ontario,Average weekly wage rate,"Total employees, all occupations",Males,55 years and over,1425.09
2017,Ontario,Average weekly wage rate,Management occupations [0],Males,55 years and over,2058.1
2018,Ontario,Average weekly wage rate,Management occupations [0],Males,55 years and over,2036.49
2019,Ontario,Average weekly wage rate,Management occupations [0],Males,55 years and over,2074.34
2020,Ontario,Average weekly wage rate,Management occupations [0],Males,55 years and over,2217.39
2021,Ontario,Average weekly wage rate,Management occupations [0],Males,55 years and over,2274.13
2017,Ontario,Average weekly wage rate,Senior management occupations [00],Males,55 years and over,2511.64
2018,Ontario,Average weekly wage rate,Senior management occupations [00],Males,55 years and over,2522.75
2019,Ontario,Average weekly wage rate,Senior management occupations [00],Males,55 years and over,2460.18
2020,Ontario,Average weekly wage rate,Senior management occupations [00],Males,55 years and over,2796.5
2021,Ontario,Average weekly wage rate,Senior management occupations [00],Males,55 years and over,2705.81
2017,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Males,55 years and over,2182.9
